"WRITE";"9888.0";"";"2999120373";"20.827225 s"
"WRITE";"9888.0";"";"2999408354";"20.829225 s"
"WRITE";"9888.0";"";"2999696336";"20.831225 s"
"WRITE";"9888.0";"";"2999984317";"20.833224 s"
"WRITE";"9888.0";"";"3000272299";"20.835224 s"
"WRITE";"9888.0";"";"3000560280";"20.837224 s"
"WRITE";"9888.0";"";"3000848262";"20.839224 s"
"WRITE";"9888.0";"";"3001136243";"20.841224 s"
"WRITE";"9888.0";"";"3001424224";"20.843224 s"
"WRITE";"9888.0";"";"3001712206";"20.845224 s"
"WRITE";"9888.0";"";"3002000187";"20.847224 s"
"WRITE";"9888.0";"";"3002288169";"20.849223 s"
"WRITE";"9888.0";"";"3002576150";"20.851223 s"
"WRITE";"9888.0";"";"3002864131";"20.853223 s"
"WRITE";"9888.0";"";"3003152113";"20.855223 s"
"WRITE";"9888.0";"";"3003440094";"20.857223 s"
"WRITE";"9888.0";"";"3003728076";"20.859223 s"
"WRITE";"9888.0";"";"3004016057";"20.861223 s"
"WRITE";"9888.0";"";"3004304039";"20.863222 s"
"WRITE";"9888.0";"";"3004592020";"20.865222 s"
"WRITE";"9888.0";"";"3004880001";"20.867222 s"
"WRITE";"9888.0";"";"3005167983";"20.869222 s"
"WRITE";"9888.0";"";"3005455964";"20.871222 s"
"WRITE";"9888.0";"";"3005743946";"20.873222 s"
"WRITE";"9888.0";"";"3006031927";"20.875222 s"
"WRITE";"9888.0";"";"3006319909";"20.877222 s"
"WRITE";"9888.0";"";"3006607890";"20.879221 s"
"WRITE";"9888.0";"";"3006895871";"20.881221 s"
"WRITE";"9888.0";"";"3007183853";"20.883221 s"
"WRITE";"9888.0";"";"3007471834";"20.885221 s"
"WRITE";"9888.0";"";"3007759816";"20.887221 s"
"WRITE";"9888.0";"";"3008047797";"20.889221 s"
"WRITE";"9888.0";"";"3008335778";"20.891221 s"
"WRITE";"9888.0";"";"3008623760";"20.893221 s"
"WRITE";"9888.0";"";"3008911741";"20.895220 s"
"WRITE";"9888.0";"";"3009199723";"20.897220 s"
"WRITE";"9888.0";"";"3009487704";"20.899220 s"
"WRITE";"9888.0";"";"3009775686";"20.901220 s"
"WRITE";"9888.0";"";"3010063667";"20.903220 s"
"WRITE";"9888.0";"";"3010351648";"20.905220 s"
"WRITE";"9888.0";"";"3010639630";"20.907220 s"
"WRITE";"9888.0";"";"3010927611";"20.909220 s"
"WRITE";"9888.0";"";"3011215593";"20.911219 s"
"WRITE";"9888.0";"";"3011503574";"20.913219 s"
"WRITE";"9888.0";"";"3011791556";"20.915219 s"
"WRITE";"9888.0";"";"3012079537";"20.917219 s"
"WRITE";"9888.0";"";"3012367518";"20.919219 s"
"WRITE";"9888.0";"";"3012655500";"20.921219 s"
"WRITE";"9888.0";"";"3012943481";"20.923219 s"
"WRITE";"9888.0";"";"3013231463";"20.925218 s"
"WRITE";"9888.0";"";"3013519444";"20.927218 s"
"WRITE";"9888.0";"";"3013807426";"20.929218 s"
"WRITE";"9888.0";"";"3014095407";"20.931218 s"
"WRITE";"9888.0";"";"3014383388";"20.933218 s"
"WRITE";"9888.0";"";"3014671370";"20.935218 s"
"WRITE";"9888.0";"";"3014959351";"20.937218 s"
"WRITE";"9888.0";"";"3015247333";"20.939218 s"
"WRITE";"9888.0";"";"3015535314";"20.941217 s"
"WRITE";"9888.0";"";"3015823295";"20.943217 s"
"WRITE";"9888.0";"";"3016111277";"20.945217 s"
"WRITE";"9888.0";"";"3016399258";"20.947217 s"
"WRITE";"9888.0";"";"3016687240";"20.949217 s"
"WRITE";"9888.0";"";"3016975221";"20.951217 s"
"WRITE";"9888.0";"";"3017263203";"20.953217 s"
"WRITE";"9888.0";"";"3017551184";"20.955217 s"
"WRITE";"9888.0";"";"3017839165";"20.957216 s"
"WRITE";"9888.0";"";"3018127147";"20.959216 s"
"WRITE";"9888.0";"";"3018415128";"20.961216 s"
"WRITE";"9888.0";"";"3018703110";"20.963216 s"
"WRITE";"9888.0";"";"3018991091";"20.965216 s"
"WRITE";"9888.0";"";"3019279073";"20.967216 s"
"WRITE";"9888.0";"";"3019567054";"20.969216 s"
"WRITE";"9888.0";"";"3019855035";"20.971216 s"
"WRITE";"9888.0";"";"3020143017";"20.973215 s"
"WRITE";"9888.0";"";"3020430998";"20.975215 s"
"WRITE";"9888.0";"";"3020718980";"20.977215 s"
"WRITE";"9888.0";"";"3021006961";"20.979215 s"
"WRITE";"9888.0";"";"3021294942";"20.981215 s"
