WRITE,0.0,,355926,2.471708 
WRITE,0.0,,643907,4.471576 
WRITE,0.0,,931889,6.471451 
WRITE,0.0,,1219870,8.471319 
WRITE,0.0,,1507851,10.471188 
WRITE,0.0,,1795833,12.471063 
WRITE,0.0,,2083814,14.470931 
WRITE,-1.0,,2371796,16.470806 
WRITE,-2.0,,2659777,18.470674 
WRITE,-3.0,,2947759,20.470549 
WRITE,-4.0,,3235740,22.470417 
WRITE,-5.0,,3523721,24.470285 
WRITE,-7.0,,3811703,26.470160 
WRITE,-8.0,,4099684,28.470028 
WRITE,-10.0,,4387666,30.469903 
WRITE,-12.0,,4675647,32.469771 
WRITE,-14.0,,4963629,34.469646 
WRITE,-17.0,,5251610,36.469514 
WRITE,-19.0,,5539591,38.469382 
WRITE,-21.0,,5827573,40.469257 
WRITE,-23.0,,6115554,42.469125 
WRITE,-26.0,,6403536,44.469000 
WRITE,-28.0,,6691517,46.468868 
WRITE,-30.0,,6979498,48.468736 
WRITE,-32.0,,7267480,50.468611 
WRITE,-34.0,,7555461,52.468479 
WRITE,-37.0,,7843443,54.468354 
WRITE,-39.0,,8131424,56.468222 
WRITE,-41.0,,8419406,58.468097 
WRITE,-42.0,,8707387,60.467965 
WRITE,-44.0,,8995368,62.467833 
WRITE,-46.0,,9283350,64.467708 
WRITE,-48.0,,9571331,66.467576 
WRITE,-50.0,,9859313,68.467451 
WRITE,-51.0,,10147294,70.467319 
WRITE,-53.0,,10435276,72.467194 
WRITE,-54.0,,10723257,74.467063 
WRITE,-56.0,,11011238,76.466931 
WRITE,-57.0,,11299220,78.466806 
WRITE,-58.0,,11587201,80.466674 
WRITE,-60.0,,11875183,82.466549 
WRITE,-61.0,,12163164,84.466417 
WRITE,-62.0,,12451145,86.466285 
WRITE,-64.0,,12739127,88.466160 
WRITE,-65.0,,13027108,90.466028 
WRITE,-66.0,,13315090,92.465903 
WRITE,-67.0,,13603071,94.465771 
WRITE,-68.0,,13891053,96.465646 
WRITE,-69.0,,14179034,98.465514 
WRITE,-70.0,,14467015,100.465382 
WRITE,-71.0,,14754997,102.465257 
WRITE,-72.0,,15042978,104.465125 
