WRITE,0.0,,345306,2.397958 ms
WRITE,0.0,,633288,4.397833 ms
WRITE,0.0,,921269,6.397701 ms
WRITE,0.0,,1209251,8.397576 ms
WRITE,0.0,,1497232,10.397444 ms
WRITE,0.0,,1785214,12.397319 ms
WRITE,0.0,,2073195,14.397188 ms
WRITE,0.0,,2361176,16.397056 ms
WRITE,-1.0,,2649158,18.396931 ms
WRITE,-2.0,,2937139,20.396799 ms
WRITE,-3.0,,3225121,22.396674 ms
WRITE,-3.0,,3513102,24.396542 ms
WRITE,-5.0,,3801083,26.396410 ms
WRITE,-6.0,,4089065,28.396285 ms
WRITE,-7.0,,4377046,30.396153 ms
WRITE,-9.0,,4665028,32.396028 ms
WRITE,-10.0,,4953009,34.395896 ms
WRITE,-12.0,,5240991,36.395771 ms
WRITE,-14.0,,5528972,38.395639 ms
WRITE,-15.0,,5816953,40.395507 ms
WRITE,-17.0,,6104935,42.395382 ms
WRITE,-19.0,,6392916,44.395250 ms
WRITE,-21.0,,6680898,46.395125 ms
WRITE,-24.0,,6968879,48.394993 ms
WRITE,-26.0,,7256861,50.394868 ms
WRITE,-28.0,,7544842,52.394736 ms
WRITE,-31.0,,7832823,54.394604 ms
WRITE,-34.0,,8120805,56.394479 ms
WRITE,-36.0,,8408786,58.394347 ms
WRITE,-39.0,,8696768,60.394222 ms
WRITE,-42.0,,8984749,62.394090 ms
WRITE,-45.0,,9272731,64.393965 ms
WRITE,-48.0,,9560712,66.393833 ms
WRITE,-51.0,,9848693,68.393701 ms
WRITE,-54.0,,10136675,70.393576 ms
WRITE,-58.0,,10424656,72.393444 ms
WRITE,-61.0,,10712638,74.393319 ms
WRITE,-64.0,,11000619,76.393188 ms
WRITE,-68.0,,11288600,78.393056 ms
WRITE,-72.0,,11576582,80.392931 ms
WRITE,-75.0,,11864563,82.392799 ms
WRITE,-79.0,,12152545,84.392674 ms
WRITE,-83.0,,12440526,86.392542 ms
WRITE,-87.0,,12728508,88.392417 ms
WRITE,-91.0,,13016489,90.392285 ms
WRITE,-95.0,,13304470,92.392153 ms
WRITE,-100.0,,13592452,94.392028 ms
WRITE,-104.0,,13880433,96.391896 ms
WRITE,-109.0,,14168415,98.391771 ms
WRITE,-113.0,,14456396,100.391639 ms
WRITE,-118.0,,14744378,102.391514 ms
WRITE,-122.0,,15032359,104.391382 ms
WRITE,-127.0,,15320340,106.391250 ms
WRITE,-132.0,,15608322,108.391125 ms
WRITE,-136.0,,15896303,110.390993 ms
WRITE,-141.0,,16184285,112.390868 ms
WRITE,-146.0,,16472266,114.390736 ms
WRITE,-150.0,,16760247,116.390604 ms
WRITE,-155.0,,17048229,118.390479 ms
WRITE,-160.0,,17336210,120.390347 ms
WRITE,-165.0,,17624192,122.390222 ms
WRITE,-170.0,,17912173,124.390090 ms
WRITE,-175.0,,18200155,126.389965 ms
WRITE,-179.0,,18488136,128.389833 ms
WRITE,-184.0,,18776117,130.389701 ms
WRITE,-189.0,,19064099,132.389576 ms
WRITE,-194.0,,19352080,134.389444 ms
WRITE,-199.0,,19640062,136.389319 ms
WRITE,-204.0,,19928043,138.389188 ms
WRITE,-209.0,,20216025,140.389063 ms
WRITE,-215.0,,20504006,142.388931 ms
WRITE,-220.0,,20791987,144.388799 ms
WRITE,-225.0,,21079969,146.388674 ms
WRITE,-230.0,,21367950,148.388542 ms
WRITE,-235.0,,21655932,150.388417 ms
WRITE,-240.0,,21943913,152.388285 ms
WRITE,-245.0,,22231894,154.388153 ms
WRITE,-250.0,,22519876,156.388028 ms
WRITE,-255.0,,22807857,158.387896 ms
WRITE,-260.0,,23095839,160.387771 ms
WRITE,-266.0,,23383820,162.387639 ms
WRITE,-271.0,,23671802,164.387514 ms
WRITE,-276.0,,23959783,166.387382 ms
WRITE,-281.0,,24247764,168.387250 ms
WRITE,-286.0,,24535746,170.387125 ms
WRITE,-291.0,,24823727,172.386993 ms
WRITE,-296.0,,25111709,174.386868 ms
WRITE,-301.0,,25399690,176.386736 ms
WRITE,-306.0,,25687672,178.386611 ms
WRITE,-311.0,,25975653,180.386479 ms
WRITE,-316.0,,26263634,182.386347 ms
WRITE,-321.0,,26551616,184.386222 ms
WRITE,-326.0,,26839597,186.386090 ms
WRITE,-332.0,,27127579,188.385965 ms
WRITE,-337.0,,27415560,190.385833 ms
WRITE,-342.0,,27703542,192.385708 ms
WRITE,-347.0,,27991523,194.385576 ms
WRITE,-352.0,,28279504,196.385444 ms
WRITE,-357.0,,28567486,198.385319 ms
WRITE,-363.0,,28855467,200.385188 ms
WRITE,-368.0,,29143449,202.385063 ms
WRITE,-373.0,,29431430,204.384931 ms
WRITE,-378.0,,29719411,206.384799 ms
WRITE,-383.0,,30007393,208.384674 ms
WRITE,-388.0,,30295374,210.384542 ms
WRITE,-394.0,,30583356,212.384417 ms
WRITE,-399.0,,30871337,214.384285 ms
WRITE,-404.0,,31159319,216.384160 ms
WRITE,-409.0,,31447300,218.384028 ms
WRITE,-414.0,,31735281,220.383896 ms
WRITE,-419.0,,32023263,222.383771 ms
WRITE,-424.0,,32311244,224.383639 ms
WRITE,-429.0,,32599226,226.383514 ms
WRITE,-434.0,,32887207,228.383382 ms
WRITE,-439.0,,33175189,230.383257 ms
WRITE,-445.0,,33463170,232.383125 ms
WRITE,-450.0,,33751151,234.382993 ms
WRITE,-455.0,,34039133,236.382868 ms
WRITE,-460.0,,34327114,238.382736 ms
WRITE,-466.0,,34615096,240.382611 ms
WRITE,-471.0,,34903077,242.382479 ms
WRITE,-476.0,,35191058,244.382347 ms
WRITE,-481.0,,35479040,246.382222 ms
WRITE,-486.0,,35767021,248.382090 ms
WRITE,-491.0,,36055003,250.381965 ms
WRITE,-497.0,,36342984,252.381833 ms
WRITE,-502.0,,36630966,254.381708 ms
WRITE,-507.0,,36918947,256.381576 ms
WRITE,-512.0,,37206928,258.381444 ms
WRITE,-517.0,,37494910,260.381319 ms
WRITE,-522.0,,37782891,262.381188 ms
